id,name,category,region,status,reason,image_url,image_source,source_title,url_title,score,non_food_keyword,prev_url,prev_title,prev_url_reachable,license,flags
331,Shinwari Chicken,Curry & Kebab,Khyber Pakhtunkhwa,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Butter Chicken & Butter Naan - Home - Chandigarh - India - 0006 ★),,,,,,,,,no-candidate
195,Shir Khurma Chawal,Rice,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Sheer Khurma ★),,,,,,,,,no-candidate
675,Sindh Kheer Drink,Drinks,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (kheer drink ★),,,,,,,,,no-candidate
692,Sindh Mango Lassi,Drinks,Sindh,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/1/18/Coffee_and_mango_lassi_at_restaurant_South_Asian_Street_Food.jpg,Wikimedia Commons via Openverse (Coffee and mango lassi at restaurant South Asian Street Food ★),,Coffee and mango lassi at restaurant South Asian Street Food,0.67,restaurant,,,,,non-food:restaurant;probe-ratelimited
496,Sindhi Barfi,Dessert,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (barfi ★),,,,,,,,,no-candidate
175,Sindhi Beef Biryani,Rice,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Famous beef biryani of kolkata ★),,,,,,,,,no-candidate
172,Sindhi Biryani,Rice,Sindh,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,Wikimedia Commons via Openverse (Achari Biryani ★),,,,,https://upload.wikimedia.org/wikipedia/commons/7/74/Sindhi_biryani.jpg,Sindhi biryani,false,by-sa,prev-url-available;prev-url-unverified
173,Sindhi Chicken Biryani,Rice,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Chicken Biryani ★),,,,,,,,,no-candidate
303,Sindhi Chicken Karahi,Curry & Kebab,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Chicken Karahi in Pakistan ★),,,,,,,,,no-candidate
500,Sindhi Doodh Pak,Dessert,Sindh,LIKELY_WRONG,no title/name token overlap; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/c/c6/Chahao_kheer.jpg,Wikimedia Commons via Openverse (doodh ★),,Chahao kheer,0,,,,,,unrelated-title;probe-ratelimited
495,Sindhi Firni,Dessert,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (This is a picture of Indian rice pudding or firni which has been set in a shallow earthen dish.Strands of saffron and chopped almonds and pistachios have been used for garnishing ★),,,,,,,,,no-candidate
498,Sindhi Gulab Jamun,Dessert,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Gulab Jamun ★),,,,,,,,,no-candidate
493,Sindhi Halwa,Dessert,Sindh,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/9/95/Singhara_atta_Halwa.jpg,Wikimedia Commons via Openverse (Singhara atta Halwa ★),,Singhara atta Halwa,0.5,,,,,,probe-ratelimited
492,Sindhi Jalebi,Dessert,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (jalebi ★),,,,,,,,,no-candidate
1087,Sindhi Kachori,Snacks,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (File:Urad Dal ki Kachori while making.JPG ★),,,,,,,,,no-candidate
